"date","NIFTY500_MOM50_TR","Momentum","Mom.Skew","Mom.Skew.LIQC"
2014-08-28,-0.0031588189943178,-0.00277145032658421,-0.005,-0.005
2014-09-30,0.0865621370915286,0.128641049875521,0.137111814772567,0.137111814772567
2014-10-31,0.0439467252505836,0.0524519137975152,0.0411659030575509,0.0418067217919631
2014-11-28,0.0477133955468483,0.105381700562818,0.0596148365752649,0.0596148365752649
2014-12-31,0.0158808270121693,0.0161719125234143,0.054394466368868,0.0443339195742285
2015-01-30,0.0740078019498951,0.0372012822194985,0.040056136254176,0.0313816461459338
2015-02-28,0.0126131715273503,0.010083339790345,0.00796253762159216,0.00367833706964005
2015-03-31,0.0259783821028319,0.082351457641511,0.031716376278039,0.0362572940389985
2015-04-30,-0.0628155217660183,-0.016369644733931,0.020340232402301,0.0281964385748625
2015-05-29,0.0484067208237573,0.011176762367797,0.0159105920753195,0.0228676375059986
2015-06-30,-0.00687291420759939,0.00551842722981166,0.0342982096560085,0.0339603107705315
2015-07-31,0.0789272260250646,0.0996058385860403,0.150941898123765,0.155079964744547
2015-08-31,-0.0586141343452015,-0.135768204836906,-0.115750687227888,-0.115750687227888
2015-09-30,-0.000638271624803566,0.0525150748127774,0.0494905383995128,0.0422385188758347
2015-10-30,0.00977608655982642,0.0659861062729179,0.045464344386946,0.0578172091735154
2015-11-30,-0.0147981018034991,0.103163673505228,0.0809491150304236,0.0911594214779641
2015-12-31,0.0121466772647001,-0.0116171582274442,0.0357715261510647,0.0278543394327573
2016-01-29,-0.0572781422536903,-0.143437482466735,-0.121302207823534,-0.113044160851023
2016-02-29,-0.0919609984649292,-0.204643713221534,-0.191609543457098,-0.184953040440665
2016-03-31,0.0901317038898877,0.0366516837732727,0.0855673280257534,0.0860901454140577
2016-04-29,0.0160711769790529,-0.00903862751424434,0.0454190437900168,0.0477225382434754
2016-05-31,-0.0130259131630773,-0.0192512342812641,-0.0263706757497872,-0.0336635299548793
